SNR,BE1,BE2,BE3,BE4,BE5
-5,0.250397705078125,0.235024658203125,0.218799560546875,0.2051123046875,0.185417236328125
0,0.25050537109375,0.236197021484375,0.219758544921875,0.20586474609375,0.184568603515625
5,0.2527783203125,0.24669921875,0.237928466796875,0.225466552734375,0.21050390625
10,0.2639482421875,0.266589111328125,0.273689697265625,0.279804931640625,0.29289794921875
15,0.331143798828125,0.308017822265625,0.304779541015625,0.28929931640625,0.30804296875
20,0.495547119140625,0.357327392578125,0.337278564453125,0.328755859375,0.30765869140625
25,0.5,0.359006591796875,0.34799755859375,0.327994140625,0.312382568359375
30,0.5,0.368054931640625,0.347132568359375,0.329794921875,0.311277587890625
